-17712,92,142,-622,-1,-5,260,-101,-21,18
-17840,93,142,-621,1,1,265,-89,-13,24
-17744,93,142,-621,3,-1,261,-97,-12,24
-17888,93,142,-622,3,-1,261,-88,-15,21
-17744,93,142,-622,3,2,267,-104,-19,17
-17776,91,143,-621,-3,-2,264,-90,-5,27
-17808,90,142,-621,-2,0,261,-91,-15,24
-17744,92,141,-622,3,-3,262,-101,-13,17
-17808,91,142,-622,-1,-6,261,-100,-14,23
-17728,91,142,-622,2,3,260,-97,-16,24
-17808,91,141,-621,-1,-3,265,-92,-13,21
-17792,91,143,-622,3,-3,250,-95,-17,22
-17760,91,143,-621,1,-1,256,-110,-7,18
-17680,90,143,-623,-2,-2,259,-94,-20,26
-17824,91,142,-621,2,-2,263,-99,-16,23
-17760,90,142,-621,3,-6,263,-57,-12,25
-17744,91,143,-621,2,-2,261,-96,-15,28
-17824,90,142,-620,0,-2,266,-96,-12,22
-17872,92,143,-622,2,-2,264,-101,-5,23
-17712,91,143,-622,1,-4,257,-95,-6,39
-17792,91,143,-622,0,-7,259,-99,-8,27
-17712,92,143,-622,-3,-2,264,-95,-2,7
-17856,92,143,-621,0,0,261,-101,2,11
-17856,91,143,-621,-1,1,258,-98,-14,30
-17760,90,143,-621,-1,-1,258,-94,-13,25
-17728,91,145,-621,1,-4,265,-97,-8,21
-17744,90,143,-621,-1,-5,260,-99,-12,22
-17776,92,144,-620,-1,-4,258,-96,-12,22
-17776,91,144,-621,-4,-5,260,-94,-12,23
-17712,91,146,-620,1,-7,260,-95,-15,19
-17792,91,143,-621,0,-1,260,-97,-13,23
-17840,91,143,-620,-3,-5,258,-98,-14,20
-17824,91,145,-620,-2,-4,261,-97,-14,21
-17744,91,143,-622,-2,-4,260,-95,-13,23
-17776,91,143,-621,2,-7,260,-92,-11,22
-17760,89,143,-622,-1,-8,262,-96,-13,26
-17840,93,143,-620,-1,-5,261,-99,-16,20
-17776,92,144,-620,-3,-3,261,-98,-12,25
-17760,91,144,-621,-1,-2,258,-95,-12,21
-17856,91,144,-621,-1,-7,257,-95,-9,23
-17824,92,144,-620,-2,-4,256,-94,-13,22
-17776,93,145,-621,-1,-4,260,-96,-15,26
-17920,92,146,-621,-7,-1,262,-95,-12,25
-17776,92,145,-622,0,-5,261,-97,-13,25
-17840,92,144,-620,-1,-4,261,-90,-12,22
-17792,92,143,-621,1,-4,258,-95,-14,23
-17776,92,145,-621,2,-3,263,-96,-16,24
-17680,92,145,-621,0,-7,260,-96,-17,23
-17824,91,144,-622,-1,-3,261,-93,-16,26
-17824,92,144,-621,-3,-4,262,-97,-13,25
-17712,92,144,-621,-3,-2,263,-97,-16,19
-17776,93,143,-621,-1,-9,260,-99,-13,22
-17712,91,143,-620,0,-7,260,-96,-9,23
-17696,92,143,-620,0,-3,263,-98,-16,20
-17840,93,144,-621,4,-9,262,-94,-14,24
-17936,92,144,-621,-3,-3,264,-95,-11,22
-17776,90,144,-621,0,-3,260,-98,-11,24
-17840,92,144,-621,-2,-3,263,-97,-9,23
-17776,92,144,-621,-2,0,257,-93,-11,22
-17776,92,143,-622,0,-4,261,-96,-13,26
-17712,92,143,-620,0,-2,259,-96,-13,23
-17760,91,144,-620,-1,-1,260,-97,-19,17
-17680,92,144,-621,-1,-4,266,-91,-15,22
-17808,93,145,-621,-2,-4,263,-95,-9,21
-17824,91,145,-620,2,-6,261,-95,-13,20
-17808,92,143,-620,-4,-4,263,-98,-17,21
-17776,91,143,-619,-3,-1,263,-97,-12,24
-17760,92,144,-621,-1,-4,263,-90,-15,22
-17712,91,143,-621,3,-4,257,-91,-13,26
-17776,92,144,-621,0,-4,258,-96,-16,21
-17760,92,144,-622,-6,-2,262,-92,-16,22
-17680,91,143,-621,1,-2,262,-93,-15,24
-17840,91,144,-621,-1,-3,258,-97,-14,20
-17744,91,145,-621,2,-3,257,-98,-15,21
-17760,92,144,-622,2,-2,258,-91,-18,22
-17648,91,144,-620,0,-6,261,-96,-15,21
-17792,92,144,-619,1,0,262,-94,-16,24
-17744,90,144,-621,-2,-1,260,-94,-11,26
-17712,92,145,-621,2,0,261,-93,-14,20
-17696,93,144,-621,-2,0,263,-93,-9,23
-17712,93,143,-622,-1,-3,260,-95,-12,22
-17712,93,145,-621,2,-3,260,-93,-14,25
-17728,93,144,-620,1,-2,259,-94,-16,29
-17712,93,144,-621,-1,-1,262,-93,-13,24
-17680,91,143,-620,2,-9,259,-95,-15,22
-17744,90,144,-621,-4,-7,260,-97,-13,19
-17824,92,144,-620,-1,-3,257,-95,-16,24
-17712,91,146,-621,-1,-3,261,-94,-16,22
-17712,91,144,-620,2,-4,259,-95,-15,23
-17728,92,144,-622,0,-4,256,-95,-17,23
-17728,92,144,-620,-2,-2,263,-95,-12,19
-17760,92,145,-621,-1,-2,263,-97,-17,24
-17888,90,145,-620,1,-6,262,-93,-17,21
-17728,92,144,-621,-2,-1,262,-93,-16,20
-17680,91,144,-621,-1,-2,263,-93,-14,23
-17856,91,144,-621,2,-3,265,-93,-12,25
-17968,92,144,-621,-1,-1,262,-95,-16,25
-17776,92,144,-620,-1,-1,262,-98,-14,25
-17712,92,143,-621,-2,0,259,-95,-14,25
-17744,91,143,-621,-1,-5,262,-97,-12,20
-17840,93,143,-622,-2,-3,255,-96,-20,22
-17664,92,145,-620,-1,-2,264,-91,-10,20
